thing,ts,prop_rssi,prop_temp,prop_ojfawje,prop_waterheater,prop_hvac,prop_main,prop_office,prop_other,prop_refrigerator,loc_lat,loc_lng,loc_heading,loc_speed,loc_corrId,loc_streetNumber,loc_street,loc_city,loc_state,loc_zipCode,loc_country,attr_m2x_deviceid
homepower,1.423524601689E9,null,null,null,0.0,325.0,852.0,284.0,352.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524204526E9,null,null,null,0.0,634.0,1018.0,284.0,95.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524581693E9,null,null,null,0.0,325.0,968.0,284.0,287.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524223692E9,null,null,null,0.0,1949.0,2528.0,284.0,287.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.421328346481E9,null,null,null,4129.0,5.0,5135.0,260.0,751.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328726027E9,null,null,null,4129.0,280.0,5141.0,260.0,105.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328605909E9,null,null,null,4129.0,1943.0,6838.0,260.0,509.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327406519E9,null,null,null,4301.0,5.0,5249.0,260.0,476.0,355.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.42132740652E9,null,null,null,4301.0,5.0,5249.0,260.0,476.0,355.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327866524E9,null,null,null,4129.0,5.0,5046.0,260.0,609.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327992513E9,null,null,null,4129.0,5.0,4752.0,260.0,268.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328246022E9,null,null,null,4129.0,5.0,4905.0,260.0,269.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327072026E9,null,null,null,0.0,3.0,846.0,260.0,526.0,72.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328715029E9,null,null,null,4129.0,1943.0,5404.0,260.0,105.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327066028E9,null,null,null,0.0,3.0,846.0,260.0,389.0,72.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327119987E9,null,null,null,0.0,3.0,789.0,260.0,526.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327966521E9,null,null,null,4129.0,5.0,4860.0,260.0,506.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327260022E9,null,null,null,3360.0,5.0,3890.0,260.0,277.0,3.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421329025773E9,null,null,null,4295.0,6.0,5037.0,260.0,484.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.42132853252E9,null,null,null,4129.0,1943.0,6952.0,260.0,509.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328446044E9,null,null,null,4129.0,1703.0,6642.0,260.0,644.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421326966026E9,null,null,null,0.0,3.0,644.0,260.0,338.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421329066024E9,null,null,null,4295.0,5.0,6365.0,260.0,788.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421328967528E9,null,null,null,4295.0,6.0,5037.0,260.0,373.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327226029E9,null,null,null,0.0,3.0,789.0,260.0,526.0,4.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.421327986514E9,null,null,null,4129.0,5.0,4752.0,260.0,373.0,138.0,null,null,null,null,null,null,null,null,null,null,null,null
homepower,1.42132895252E9,null,null,null,4295.0,5.0,4970.0,260.0,373.0,7.0,null,null,null,null,null,null,null,null,null,null,null,null
